cycles,l1i,l1d,l2,uf
59975816,2,2,128,2
59731958,2,2,128,4
59581198,2,2,128,8
64441717,2,2,128,16
66060573,2,2,128,32
59962489,2,2,256,2
59724172,2,2,256,4
59567585,2,2,256,8
64436091,2,2,256,16
66022526,2,2,256,32
59936885,2,2,512,2
59705718,2,2,512,4
59552345,2,2,512,8
64413015,2,2,512,16
66030231,2,2,512,32
59877673,2,2,1024,2
59713504,2,2,1024,4
59552013,2,2,1024,8
64430107,2,2,1024,16
66031489,2,2,1024,32
59828041,2,4,128,2
59583529,2,4,128,4
59433698,2,4,128,8
64288644,2,4,128,16
65951199,2,4,128,32
59819680,2,4,256,2
59575137,2,4,256,4
59420646,2,4,256,8
64287084,2,4,256,16
65913092,2,4,256,32
59796895,2,4,512,2
59568024,2,4,512,4
59410617,2,4,512,8
64289124,2,4,512,16
65915084,2,4,512,32
59760374,2,4,1024,2
59593249,2,4,1024,4
59431483,2,4,1024,8
64310154,2,4,1024,16
65893923,2,4,1024,32
59786631,2,8,128,2
59544560,2,8,128,4
59392792,2,8,128,8
64244827,2,8,128,16
65867404,2,8,128,32
59780622,2,8,256,2
59536087,2,8,256,4
59384709,2,8,256,8
64241180,2,8,256,16
65825714,2,8,256,32
59763967,2,8,512,2
59533674,2,8,512,4
59377269,2,8,512,8
64239285,2,8,512,16
65833267,2,8,512,32
59724253,2,8,1024,2
59560168,2,8,1024,4
59398106,2,8,1024,8
64278927,2,8,1024,16
65828459,2,8,1024,32
42794760,2,16,128,2
42615191,2,16,128,4
42416612,2,16,128,8
47336864,2,16,128,16
48956811,2,16,128,32
42827992,2,16,256,2
42644594,2,16,256,4
42473970,2,16,256,8
47364126,2,16,256,16
48987245,2,16,256,32
42771401,2,16,512,2
42586077,2,16,512,4
42392968,2,16,512,8
47325209,2,16,512,16
48932742,2,16,512,32
42780799,2,16,1024,2
42596171,2,16,1024,4
42415055,2,16,1024,8
47320960,2,16,1024,16
49005338,2,16,1024,32
42445357,2,32,128,2
42241503,2,32,128,4
42078234,2,32,128,8
46948297,2,32,128,16
48679653,2,32,128,32
42432014,2,32,256,2
42224909,2,32,256,4
42066002,2,32,256,8
46954042,2,32,256,16
48663573,2,32,256,32
42422907,2,32,512,2
42214955,2,32,512,4
42054875,2,32,512,8
46932263,2,32,512,16
48660795,2,32,512,32
42432924,2,32,1024,2
42243823,2,32,1024,4
42095845,2,32,1024,8
46978173,2,32,1024,16
48649247,2,32,1024,32
42706015,2,64,128,2
42506477,2,64,128,4
42354944,2,64,128,8
47228098,2,64,128,16
48797185,2,64,128,32
42441318,2,64,256,2
42236302,2,64,256,4
42070014,2,64,256,8
46951455,2,64,256,16
48662584,2,64,256,32
42417958,2,64,512,2
42211044,2,64,512,4
42052058,2,64,512,8
46949333,2,64,512,16
48655275,2,64,512,32
42447511,2,64,1024,2
42245447,2,64,1024,4
42096525,2,64,1024,8
46977864,2,64,1024,16
48643354,2,64,1024,32
59927011,4,2,128,2
59682184,4,2,128,4
59531039,4,2,128,8
59487703,4,2,128,16
64299220,4,2,128,32
59908679,4,2,256,2
59669582,4,2,256,4
59515328,4,2,256,8
59460825,4,2,256,16
64282480,4,2,256,32
59889876,4,2,512,2
59658825,4,2,512,4
59505627,4,2,512,8
59456898,4,2,512,16
64285766,4,2,512,32
59830817,4,2,1024,2
59666611,4,2,1024,4
59506060,4,2,1024,8
59449344,4,2,1024,16
64289447,4,2,1024,32
59780574,4,4,128,2
59533673,4,4,128,4
59384448,4,4,128,8
59343511,4,4,128,16
64188476,4,4,128,32
59767984,4,4,256,2
59525887,4,4,256,4
59373187,4,4,256,8
59322523,4,4,256,16
64170274,4,4,256,32
59749920,4,4,512,2
59516283,4,4,512,4
59362738,4,4,512,8
59313622,4,4,512,16
64152848,4,4,512,32
59713480,4,4,1024,2
59546334,4,4,1024,4
59383948,4,4,1024,8
59335886,4,4,1024,16
64155705,4,4,1024,32
59739540,4,8,128,2
59497668,4,8,128,4
59346027,4,8,128,8
59306017,4,8,128,16
64109827,4,8,128,32
59726538,4,8,256,2
59489877,4,8,256,4
59333420,4,8,256,8
59286754,4,8,256,16
64087275,4,8,256,32
59708430,4,8,512,2
59482130,4,8,512,4
59324968,4,8,512,8
59260219,4,8,512,16
64071673,4,8,512,32
59674549,4,8,1024,2
59512503,4,8,1024,4
59349236,4,8,1024,8
59304752,4,8,1024,16
64084834,4,8,1024,32
42796556,4,16,128,2
42612289,4,16,128,4
42439038,4,16,128,8
42409832,4,16,128,16
47064088,4,16,128,32
42778646,4,16,256,2
42591693,4,16,256,4
